,net_number,accuracy,acc_motion,acc_color,index_max_motion,index_max_color,color_info_flows,motion_info_flows
20,20,0.793,0.7277,0.8477,2,1,"[[0.06055741, 0.04692224, 0.02360566, 0.0656643], [0.04240446, 0.09611575, 0.04214947, 0.10510263], [0.04530803, 0.12326911, 0.04179654, 0.13027504], [0.03908376, 0.16558095, 0.05509687, 0.14618943], [0.04105187, 0.19967695, 0.05404619, 0.15997396], [0.03531446, 0.22367573, 0.05685242, 0.17888846], [0.03460675, 0.25629885, 0.0565294, 0.19347415], [0.03694358, 0.27786467, 0.06729173, 0.21209789], [0.02946035, 0.30050204, 0.07115798, 0.22436673], [0.02389812, 0.26601966, 0.03890555, 0.20297765]]","[[0.03780775, 0.01246823, 0.05426571, 0.03290098], [0.06634717, 0.020008, 0.11192265, 0.02931837], [0.10654222, 0.03315989, 0.1382726, 0.04498588], [0.14334814, 0.04516755, 0.16889967, 0.05856401], [0.17166244, 0.05244223, 0.20507206, 0.06447395], [0.19063866, 0.05098104, 0.24060506, 0.06133186], [0.19959385, 0.05397308, 0.26825339, 0.05078022], [0.20893387, 0.04987289, 0.30244398, 0.04357414], [0.20535936, 0.03403472, 0.31503942, 0.03619458], [0.18625963, 0.03976954, 0.19689534, 0.0446079]]"
21,21,0.8072,0.7414,0.8482,3,2,"[[0.04879854, 0.03392113, 0.04971259, 0.03231778], [0.06447442, 0.03861941, 0.10694201, 0.04090145], [0.07507845, 0.10685793, 0.14754565, 0.11238839], [0.0929935, 0.13488463, 0.1909666, 0.14304881], [0.11449884, 0.15579646, 0.22725514, 0.16615001], [0.13031518, 0.18775976, 0.2667563, 0.19896307], [0.13998421, 0.21576094, 0.28461384, 0.22927503], [0.16739389, 0.24064724, 0.32694222, 0.25638848], [0.17702538, 0.25264676, 0.33774045, 0.26953056], [0.04437399, 0.05262867, 0.32650762, 0.04414539]]","[[0.04960168, 0.06484247, 0.02719998, 0.05887858], [0.10754894, 0.10161289, 0.06852255, 0.10082766], [0.14460274, 0.15173168, 0.08341267, 0.14707085], [0.13968058, 0.19577049, 0.06677181, 0.17891886], [0.15149795, 0.23295426, 0.06747332, 0.21211993], [0.1570758, 0.26177934, 0.06866171, 0.24796383], [0.16462391, 0.29049699, 0.07034715, 0.27992684], [0.17340385, 0.31469998, 0.07625707, 0.30041435], [0.17141286, 0.34020519, 0.06960986, 0.32738232], [0.09849386, 0.26928229, 0.09657492, 0.33838368]]"
22,22,0.8006,0.7399,0.8507,0,1,"[[0.03293705, 0.05543451, 0.02817462, 0.066528], [0.02418621, 0.10969478, 0.02862147, 0.12422173], [0.03044854, 0.15654421, 0.03423759, 0.16825351], [0.02226296, 0.19496794, 0.03211643, 0.20501841], [0.02293156, 0.22689134, 0.02594051, 0.23607381], [0.01081402, 0.25617518, 0.01523498, 0.25521836], [0.01724071, 0.28265628, 0.02150456, 0.26348964], [0.01212802, 0.30703617, 0.01852583, 0.28954349], [0.01467969, 0.34376399, 0.01322031, 0.29663742], [0.08969984, 0.34504769, 0.06154071, 0.21100848]]","[[0.06391243, 0.013231, 0.06541721, 0.0155834], [0.1147302, 0.02239096, 0.11292282, 0.02263283], [0.15950163, 0.02697402, 0.15473123, 0.02770196], [0.19591506, 0.02224573, 0.19560894, 0.02582077], [0.21615998, 0.02675317, 0.22386616, 0.0243863], [0.23566207, 0.0262082, 0.25803966, 0.01842886], [0.24401318, 0.02628578, 0.29255256, 0.0177969], [0.24760333, 0.03050765, 0.32036866, 0.01811285], [0.23255453, 0.02417463, 0.33636286, 0.01762749], [0.19954693, 0.02500502, 0.17527282, 0.05824852]]"
23,23,0.7227,0.6801,0.8498,1,2,"[[0.01602106, 0.01757638, 0.03238878, 0.01916093], [0.02613195, 0.03107924, 0.03285319, 0.03280374], [0.02836084, 0.05062397, 0.05156225, 0.04260978], [0.0265539, 0.05988221, 0.06308477, 0.0418117], [0.02991316, 0.07094828, 0.06388971, 0.04058388], [0.02967498, 0.08300888, 0.07235101, 0.04289052], [0.02975785, 0.08069768, 0.07263335, 0.03990062], [0.0319087, 0.0910117, 0.08645546, 0.04351957], [0.03451407, 0.09403324, 0.0877646, 0.04504898], [0.01315484, 0.06976472, 0.07792959, 0.03749768]]","[[0.03727461, 0.05158066, 0.01669095, 0.0213467], [0.05222292, 0.07112581, 0.04400633, 0.03462211], [0.04826401, 0.09453439, 0.05210937, 0.0437428], [0.04323919, 0.09518409, 0.06791209, 0.04238284], [0.05221129, 0.1215388, 0.08314417, 0.04608338], [0.05009883, 0.13479211, 0.1002445, 0.04994415], [0.0578994, 0.15796197, 0.11822069, 0.0494816], [0.05221129, 0.16757334, 0.13756022, 0.05221129], [0.04727731, 0.16935548, 0.14894614, 0.04690251], [0.03704571, 0.1773582, 0.1748087, 0.05380528]]"
24,24,0.8048,0.7409,0.8527,0,1,"[[0.02963088, 0.063976, 0.02463826, 0.06521301], [0.07507742, 0.12302965, 0.06562033, 0.1193399], [0.06859423, 0.15824852, 0.05572719, 0.15787321], [0.05894725, 0.19302939, 0.04533019, 0.18853129], [0.05037062, 0.22251203, 0.03594321, 0.21721436], [0.05016752, 0.25870845, 0.03298488, 0.23195605], [0.04907183, 0.28512738, 0.03027268, 0.2582451], [0.05269254, 0.31340387, 0.03081699, 0.26984429], [0.05809316, 0.34412856, 0.03156097, 0.27710621], [0.08243678, 0.35099014, 0.07696067, 0.22037132]]","[[0.07212936, 0.01911893, 0.0717756, 0.02100199], [0.12766496, 0.0441408, 0.12052616, 0.04618526], [0.17069347, 0.04109375, 0.16462122, 0.04124342], [0.20446015, 0.05033904, 0.19335071, 0.04555646], [0.23096302, 0.04651518, 0.24127334, 0.03909044], [0.23777566, 0.03945811, 0.27087672, 0.03746476], [0.23547198, 0.03365998, 0.3014641, 0.0304683], [0.22924897, 0.02886062, 0.32132327, 0.03353567], [0.21730811, 0.03247853, 0.34458443, 0.03769307], [0.21856195, 0.06734016, 0.1745848, 0.09314775]]"
25,25,0.8082,0.7567,0.8485,3,2,"[[0.04377272, 0.03835755, 0.05297038, 0.03961471], [0.07547948, 0.06838688, 0.10590524, 0.07084868], [0.09779825, 0.12054665, 0.15710408, 0.12395042], [0.11248023, 0.16136973, 0.19142745, 0.16502505], [0.11692427, 0.18725666, 0.22506255, 0.19362251], [0.12909352, 0.21317175, 0.25298209, 0.21975184], [0.13572064, 0.23539831, 0.28594082, 0.24361568], [0.1436037, 0.25456426, 0.30031049, 0.26392713], [0.14523346, 0.26759817, 0.31752247, 0.27691598], [0.03091978, 0.03656701, 0.32232232, 0.04142284]]","[[0.05000834, 0.06240657, 0.03415408, 0.06042589], [0.09868944, 0.11090806, 0.06719113, 0.10556083], [0.13291308, 0.15393005, 0.08325138, 0.14408984], [0.13271201, 0.18765037, 0.0718898, 0.17677499], [0.14216422, 0.22690598, 0.06685281, 0.22111694], [0.14362751, 0.26043308, 0.05991678, 0.25160729], [0.14261099, 0.28509021, 0.05226276, 0.27802838], [0.14565104, 0.31125019, 0.0503815, 0.29910984], [0.13762447, 0.33143177, 0.04112569, 0.32464549], [0.04212817, 0.30377162, 0.0531481, 0.33984947]]"
26,26,0.8159,0.7494,0.8443,0,1,"[[0.02781161, 0.06334601, 0.0250953, 0.06798021], [0.04777072, 0.10788002, 0.04288927, 0.11389659], [0.03991578, 0.14275009, 0.0353598, 0.14948472], [0.03280213, 0.17551917, 0.02849007, 0.17811968], [0.03132999, 0.21425166, 0.02563191, 0.20049778], [0.02637981, 0.24158247, 0.02023931, 0.21596904], [0.02255361, 0.2855534, 0.0155541, 0.22555023], [0.02653297, 0.30905955, 0.01903067, 0.23371325], [0.02549518, 0.33506403, 0.01732153, 0.24132033], [0.05320754, 0.34973435, 0.01926384, 0.11681997]]","[[0.06858619, 0.01227675, 0.06873102, 0.01439888], [0.11750815, 0.01738599, 0.11849046, 0.01923144], [0.16736742, 0.02638177, 0.16448033, 0.02061153], [0.2143333, 0.03116858, 0.20385018, 0.01720401], [0.24502076, 0.03040836, 0.23911279, 0.01940176], [0.25575466, 0.02546933, 0.25271271, 0.01923146], [0.28462956, 0.02668238, 0.29074909, 0.01521772], [0.29546102, 0.03004064, 0.31028318, 0.0177009], [0.3003053, 0.0259986, 0.33302418, 0.01332588], [0.24342797, 0.04126486, 0.19374407, 0.08631554]]"
27,27,0.739,0.6847,0.8445,1,2,"[[0.01838467, 0.00805702, 0.03331736, 0.01092081], [0.03260834, 0.01789132, 0.04945453, 0.00372539], [0.04416194, 0.03466513, 0.06401159, 0.00563437], [0.05110426, 0.05285323, 0.06793702, 0.00285528], [0.05300514, 0.0668019, 0.07896681, 0.00394412], [0.04741601, 0.07503505, 0.08632079, 0.00169618], [0.04874141, 0.0856831, 0.09364698, 0.00156898], [0.04213186, 0.08824375, 0.09502544, 0.0035823], [0.03936966, 0.09036919, 0.09733375, 0.00119657], [0.01668579, 0.08093878, 0.08856979, 0.0016745]]","[[0.03275806, 0.05681989, 0.01961453, 0.01119208], [0.06092607, 0.09079192, 0.05984245, 0.01871145], [0.06997019, 0.11256396, 0.07388239, 0.01857958], [0.05803087, 0.11761173, 0.08580781, 0.01521993], [0.05869608, 0.13782547, 0.10052903, 0.01502208], [0.05288764, 0.13955653, 0.10875157, 0.00852435], [0.04862256, 0.15582218, 0.11825043, 0.00962257], [0.04451019, 0.15925375, 0.12383439, 0.005145], [0.04660696, 0.16229099, 0.1264205, 0.00385762], [0.03172358, 0.17370667, 0.14495869, 0.00327939]]"
28,28,0.803,0.7389,0.8421,0,1,"[[0.05575962, 0.0613251, 0.05407804, 0.0705602], [0.0236736, 0.11108811, 0.01410443, 0.12140793], [0.03590825, 0.15148549, 0.0287225, 0.15290073], [0.04012238, 0.19217204, 0.03254031, 0.18719039], [0.03756401, 0.23789913, 0.03262801, 0.21997246], [0.03640357, 0.27168147, 0.0335824, 0.24717602], [0.02902809, 0.28959593, 0.02436917, 0.25942511], [0.03054747, 0.31977568, 0.02232083, 0.27415545], [0.04176354, 0.3412633, 0.02367798, 0.28959154], [0.04804157, 0.35129501, 0.09237603, 0.25086693]]","[[0.07052097, 0.01186322, 0.06866989, 0.01599228], [0.11325827, 0.02486788, 0.12227779, 0.02414637], [0.15765082, 0.03145384, 0.1692517, 0.03116612], [0.19941994, 0.03992737, 0.20688381, 0.03959934], [0.22808154, 0.04046361, 0.24403278, 0.03816176], [0.24150588, 0.03762121, 0.27460334, 0.03542095], [0.25118686, 0.03456859, 0.30606538, 0.03019837], [0.24535458, 0.02682789, 0.33200298, 0.03394469], [0.23467796, 0.03520167, 0.34158294, 0.04205691], [0.22804864, 0.07076594, 0.21110469, 0.10830943]]"
29,29,0.7223,0.6698,0.8439,2,1,"[[0.01437999, 0.02676747, 0.01834887, 0.02423629], [0.03038358, 0.04046615, 0.01971043, 0.03584243], [0.03477986, 0.05404663, 0.0398699, 0.03448], [0.02746662, 0.0555284, 0.04268524, 0.03398088], [0.0305558, 0.06862143, 0.05639142, 0.03839145], [0.0310282, 0.07678595, 0.05921152, 0.03860852], [0.02640561, 0.07757048, 0.06207035, 0.03252583], [0.02293781, 0.07970188, 0.06686681, 0.03486144], [0.03019625, 0.08747346, 0.07505577, 0.03924785], [0.00994748, 0.06540585, 0.06137069, 0.03335673]]","[[0.02488494, 0.04505163, 0.02806365, 0.01699706], [0.03138034, 0.06328119, 0.06041296, 0.03101254], [0.0437428, 0.08193768, 0.0845636, 0.03809871], [0.04955853, 0.09802702, 0.10996785, 0.03959202], [0.056243, 0.12781648, 0.12730788, 0.05126683], [0.05268687, 0.14427682, 0.1466011, 0.04818313], [0.06068729, 0.16653871, 0.17069912, 0.05575096], [0.06128746, 0.17506985, 0.19126768, 0.06051638], [0.07047681, 0.19222745, 0.20214409, 0.0656643], [0.02487441, 0.20136653, 0.21564151, 0.07566056]]"
